CASO,TIPOCASO,FECHACREADO,FECHAPORAPROBAR,SEDEUSUARIO,NOMBREGRUPORESOLUTOR,VENCIDO,RECHAZADO,SATISFACCION,CASO
SR4153403,SR,25-sep-24,25-sep-24,SERVICIOS NUTRESA - RIONEGRO,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4176986,SR,8-oct-24,8-oct-24,COMPANIA NACIONAL DE CHOCOLATES - MEDELLIN- REGIONAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3781619,SR,6-feb-24,6-feb-24,COMPANIA NACIONAL DE CHOCOLATES - MEDELLIN- REGIONAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4190684,SR,18-oct-24,25-oct-24,INDUSTRIA DE ALIMENTOS ZENU - MEDELLIN - PLANTA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3854286,SR,20-mar-24,20-mar-24,MOLINOS SANTA MARTA - PLANTA BUGA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4180346,SR,10-oct-24,10-oct-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4180354,SR,10-oct-24,10-oct-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4132848,SR,12-sep-24,12-sep-24,COMPANIA DE GALLETAS POZUELO - COSTA RICA- PLANTA,COMUNICACIONES Y REDES (COSTA RICA),No,No,5,1
SR4168896,SR,3-oct-24,3-oct-24,COMPANIA DE GALLETAS POZUELO - COSTA RICA- PLANTA,COMUNICACIONES Y REDES (COSTA RICA),No,No,5,1
SR4094571,SR,22-ago-24,22-ago-24,DISTRIBUIDORA POPS - GUATEMALA,COMUNICACIONES Y REDES (COSTA RICA),No,No,5,1
SR4235975,SR,18-nov-24,18-nov-24,COMPANIA DE GALLETAS NOEL - MEDELLIN - PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3985173,SR,14-jun-24,14-jun-24,MOLINOS SANTA MARTA - PLANTA BUGA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4014393,SR,3-jul-24,3-jul-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3782818,SR,7-feb-24,7-feb-24,INDUSTRIA DE ALIMENTOS ZENU - BOGOTA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3907736,SR,24-abr-24,24-abr-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4072111,SR,8-ago-24,8-ago-24,ALIMENTOS CARNICOS - BOGOTA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4072118,SR,8-ago-24,8-ago-24,ALIMENTOS CARNICOS - BOGOTA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4207191,SR,30-oct-24,30-oct-24,ALIMENTOS CARNICOS - BOGOTA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3960911,SR,29-may-24,29-may-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3748520,SR,15-ene-24,15-ene-24,ALIMENTOS CARNICOS - APARTADO,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3812961,SR,26-feb-24,26-feb-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4207183,SR,30-oct-24,30-oct-24,ALIMENTOS CARNICOS - BOGOTA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4008851,SR,28-jun-24,28-jun-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3960915,SR,29-may-24,29-may-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4102718,SR,27-ago-24,27-ago-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3960907,SR,29-may-24,29-may-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3889545,SR,15-abr-24,15-abr-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4008820,SR,28-jun-24,28-jun-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3759143,SR,22-ene-24,22-ene-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4072084,SR,8-ago-24,8-ago-24,ALIMENTOS CARNICOS - BOGOTA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4207147,SR,30-oct-24,30-oct-24,ALIMENTOS CARNICOS - BOGOTA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3889261,SR,15-abr-24,15-abr-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3759140,SR,22-ene-24,22-ene-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3750102,SR,15-ene-24,15-ene-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3920365,SR,2-may-24,2-may-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3748509,SR,15-ene-24,15-ene-24,ALIMENTOS CARNICOS - APARTADO,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3960923,SR,29-may-24,29-may-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4252142,SR,29-nov-24,29-nov-24,INDUSTRIA DE ALIMENTOS ZENU - MEDELLIN - PLANTA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4252154,SR,29-nov-24,29-nov-24,INDUSTRIA DE ALIMENTOS ZENU - MEDELLIN - PLANTA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3876906,SR,9-abr-24,9-abr-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3811252,SR,23-feb-24,23-feb-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3767059,SR,26-ene-24,26-ene-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3853635,SR,20-mar-24,20-mar-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3907600,SR,24-abr-24,24-abr-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4252158,SR,29-nov-24,29-nov-24,INDUSTRIA DE ALIMENTOS ZENU - MEDELLIN - PLANTA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3814271,SR,26-feb-24,26-feb-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4252580,SR,29-nov-24,29-nov-24,INDUSTRIA DE ALIMENTOS ZENU - MEDELLIN - PLANTA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4072080,SR,8-ago-24,8-ago-24,ALIMENTOS CARNICOS - BOGOTA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3751316,SR,16-ene-24,16-ene-24,ALIMENTOS CARNICOS - BOGOTA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3782812,SR,7-feb-24,7-feb-24,INDUSTRIA DE ALIMENTOS ZENU - BOGOTA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4207175,SR,30-oct-24,30-oct-24,ALIMENTOS CARNICOS - BOGOTA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3750062,SR,15-ene-24,15-ene-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3864324,SR,1-abr-24,1-abr-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3889413,SR,15-abr-24,15-abr-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3941199,SR,16-may-24,16-may-24,ALIMENTOS CARNICOS - BOGOTA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4252552,SR,29-nov-24,29-nov-24,INDUSTRIA DE ALIMENTOS ZENU - MEDELLIN - PLANTA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3750070,SR,15-ene-24,15-ene-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3800701,SR,16-feb-24,16-feb-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3850288,SR,18-mar-24,18-mar-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4188368,SR,17-oct-24,17-oct-24,COMERCIAL NUTRESA - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4191533,SR,19-oct-24,19-oct-24,ALIMENTOS CARNICOS - NEIVA - REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4239674,SR,20-nov-24,20-nov-24,ALIMENTOS CARNICOS - IBAGUE- REGIONAL CARNICOS CEDI,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4275788,SR,18-dic-24,18-dic-24,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS - BOGOTA- OFICINA CENTRAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4168620,SR,3-oct-24,3-oct-24,COMERCIAL NUTRESA - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4179323,SR,9-oct-24,9-oct-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4201316,SR,26-oct-24,26-oct-24,COMERCIAL NUTRESA - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3876820,SR,9-abr-24,9-abr-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4268241,SR,11-dic-24,11-dic-24,OPPERAR COLOMBIA - MEDELLIN- OFICINAS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4113367,SR,2-sep-24,2-sep-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3902713,SR,22-abr-24,22-abr-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4164517,SR,1-oct-24,1-oct-24,COMERCIAL NUTRESA - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4192114,SR,21-oct-24,21-oct-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3914194,SR,29-abr-24,29-abr-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3916269,SR,30-abr-24,30-abr-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4269518,SR,12-dic-24,12-dic-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4172510,SR,7-oct-24,7-oct-24,INDUSTRIA DE ALIMENTOS ZENU - IBAGUE,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4201312,SR,26-oct-24,26-oct-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4202355,SR,28-oct-24,28-oct-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4176049,SR,7-oct-24,7-oct-24,INDUSTRIA DE ALIMENTOS ZENU - IBAGUE,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4222653,SR,12-nov-24,12-nov-24,ALIMENTOS CARNICOS - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4259186,SR,4-dic-24,4-dic-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4263871,SR,9-dic-24,9-dic-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4274848,SR,17-dic-24,17-dic-24,COMERCIAL NUTRESA - NEIVA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4093700,SR,22-ago-24,22-ago-24,ALIMENTOS CARNICOS - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4153350,SR,25-sep-24,25-sep-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4181479,SR,11-oct-24,11-oct-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4194403,SR,22-oct-24,22-oct-24,COMERCIAL NUTRESA - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3978340,SR,12-jun-24,12-jun-24,OPPERAR COLOMBIA - MEDELLIN- OFICINAS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4287863,SR,26-dic-24,26-dic-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3964703,SR,31-may-24,31-may-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4244597,SR,25-nov-24,25-nov-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4244601,SR,25-nov-24,25-nov-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4214039,SR,5-nov-24,5-nov-24,INDUSTRIA DE ALIMENTOS ZENU - IBAGUE,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4267237,SR,11-dic-24,11-dic-24,OPPERAR COLOMBIA - MEDELLIN- OFICINAS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4082067,SR,14-ago-24,14-ago-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4254522,SR,2-dic-24,2-dic-24,COMERCIAL NUTRESA - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4263573,SR,9-dic-24,9-dic-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4155835,SR,26-sep-24,26-sep-24,SERVICIOS NUTRESA - MONTERIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4213704,SR,5-nov-24,5-nov-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4289103,SR,27-dic-24,27-dic-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4274470,SR,17-dic-24,17-dic-24,COMERCIAL NUTRESA - NEIVA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4249883,SR,28-nov-24,28-nov-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4058368,SR,30-jul-24,30-jul-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4102189,SR,27-ago-24,27-ago-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4166457,SR,2-oct-24,2-oct-24,ALIMENTOS CARNICOS - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4216419,SR,6-nov-24,6-nov-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4216399,SR,6-nov-24,6-nov-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4236715,SR,19-nov-24,19-nov-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4284249,SR,21-dic-24,21-dic-24,OPPERAR COLOMBIA - IBAGUE,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4287852,SR,26-dic-24,26-dic-24,OPPERAR COLOMBIA - MEDELLIN- OFICINAS,SOPORTE TECNICO A USUARIOS,No,No,4,1
SR4271032,SR,13-dic-24,13-dic-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4284255,SR,21-dic-24,21-dic-24,OPPERAR COLOMBIA - MEDELLIN- OFICINAS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3894519,SR,17-abr-24,17-abr-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4085496,SR,16-ago-24,16-ago-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4121388,SR,6-sep-24,6-sep-24,COMERCIAL NUTRESA - NEIVA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4203462,SR,28-oct-24,28-oct-24,INDUSTRIA DE ALIMENTOS ZENU - IBAGUE,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4224222,SR,12-nov-24,12-nov-24,COMERCIAL NUTRESA - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4235261,SR,18-nov-24,18-nov-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4115074,SR,3-sep-24,3-sep-24,SERVICIOS NUTRESA - PLANTA BOGOTA CHOCOLATES,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4145698,SR,20-sep-24,20-sep-24,INDUSTRIA DE ALIMENTOS ZENU - IBAGUE,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4218244,SR,7-nov-24,7-nov-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4048119,SR,24-jul-24,24-jul-24,OPPERAR COLOMBIA - MEDELLIN- OFICINAS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4155823,SR,26-sep-24,26-sep-24,COMPANIA NACIONAL DE CHOCOLATES - MEDELLIN- REGIONAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4187926,SR,16-oct-24,16-oct-24,ALIMENTOS CARNICOS - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4256748,SR,3-dic-24,3-dic-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4168596,SR,3-oct-24,3-oct-24,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS - BOGOTA- OFICINA CENTRAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4224979,SR,13-nov-24,13-nov-24,OPPERAR COLOMBIA - MEDELLIN- OFICINAS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4236897,SR,19-nov-24,19-nov-24,COMERCIAL NUTRESA - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,4,1
SR3998250,SR,22-jun-24,22-jun-24,OPPERAR COLOMBIA - MEDELLIN- OFICINAS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4100610,SR,26-ago-24,26-ago-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4151657,SR,24-sep-24,24-sep-24,ALIMENTOS CARNICOS - NEIVA - REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4082222,SR,14-ago-24,14-ago-24,COMERCIAL NUTRESA - NEIVA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4145993,SR,20-sep-24,20-sep-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3905444,SR,23-abr-24,23-abr-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4261812,SR,6-dic-24,6-dic-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4265413,SR,10-dic-24,10-dic-24,COMERCIAL NUTRESA - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4235037,SR,18-nov-24,18-nov-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4287156,SR,26-dic-24,26-dic-24,OPPERAR COLOMBIA - MEDELLIN- OFICINAS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4272027,SR,16-dic-24,16-dic-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4176660,SR,8-oct-24,8-oct-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4181437,SR,11-oct-24,11-oct-24,ALIMENTOS CARNICOS - CUCUTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4135855,SR,14-sep-24,14-sep-24,COMERCIAL NUTRESA - NEIVA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4213850,SR,5-nov-24,5-nov-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4254469,SR,2-dic-24,2-dic-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4118734,SR,5-sep-24,5-sep-24,COMERCIAL NUTRESA - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4061786,SR,1-ago-24,1-ago-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4134667,SR,13-sep-24,13-sep-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4165137,SR,1-oct-24,1-oct-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4276927,SR,18-dic-24,18-dic-24,ALIMENTOS CARNICOS - IBAGUE- REGIONAL CARNICOS CEDI,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4067984,SR,5-ago-24,5-ago-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4132835,SR,12-sep-24,12-sep-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4282870,SR,20-dic-24,20-dic-24,ALIMENTOS CARNICOS - NEIVA - REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4001122,SR,25-jun-24,25-jun-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3990160,SR,18-jun-24,18-jun-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4020742,SR,8-jul-24,8-jul-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3994394,SR,20-jun-24,20-jun-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4170632,SR,4-oct-24,4-oct-24,COMERCIAL NUTRESA - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4176623,SR,8-oct-24,8-oct-24,INDUSTRIA DE ALIMENTOS ZENU - IBAGUE,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4180822,SR,10-oct-24,10-oct-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4124006,SR,7-sep-24,7-sep-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4277298,SR,19-dic-24,19-dic-24,COMERCIAL NUTRESA - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4157137,SR,27-sep-24,27-sep-24,ALIMENTOS CARNICOS - IBAGUE- MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4235471,SR,18-nov-24,18-nov-24,COMERCIAL NUTRESA - NEIVA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4290669,SR,30-dic-24,30-dic-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
