CASO,TIPOCASO,FECHACREADO,FECHAPORAPROBAR,SEDEUSUARIO,NOMBREGRUPORESOLUTOR,VENCIDO,RECHAZADO,SATISFACCION,CASO
SR4126837,SR,9-sep-24,9-sep-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4061106,SR,31-jul-24,2-ago-24,COMPANIA DE GALLETAS NOEL - MEDELLIN - PLANTA NOEL,SEGURIDAD SENCINET,No,No,0,1
SR3777353,SR,2-feb-24,6-feb-24,OPPERAR COLOMBIA - NEIVA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3777346,SR,2-feb-24,2-feb-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3870479,SR,4-abr-24,4-abr-24,MOLINOS SANTA MARTA - PLANTA BUGA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3920325,SR,2-may-24,14-may-24,ABIMAR FOODS - USA,CONECTIVIDAD SENCINET,No,Si,5,1
SR3927831,SR,7-may-24,7-may-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD TI CABLEADO AOL,No,No,0,1
SR3824722,SR,1-mar-24,1-mar-24,SERVICIOS NUTRESA - PLANTA BOGOTA CHOCOLATES,CONECTIVIDAD TI CABLEADO AOL,No,No,0,1
SR3774765,SR,1-feb-24,21-feb-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD TI CABLEADO AOL,Si,No,0,1
SR3905875,SR,23-abr-24,23-abr-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD TI CABLEADO AOL,No,No,0,1
SR3824027,SR,1-mar-24,1-mar-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD TI CABLEADO AOL,No,No,0,1
SR3851818,SR,19-mar-24,19-mar-24,SERVICIOS NUTRESA - PLANTA BOGOTA CHOCOLATES,CONECTIVIDAD TI CABLEADO AOL,No,No,0,1
SR3946343,SR,20-may-24,20-may-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD TI CABLEADO AOL,No,No,0,1
SR3785295,SR,8-feb-24,8-feb-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD TI CABLEADO AOL,No,No,0,1
